%
% TAO problem file
% Mode         : grid
% File name    : graphic.tao.radial.arff
% Generated at : Fri Nov 24 18:18:51 CET 2000
%

@RELATION TAO_grid

@ATTRIBUTE x     REAL
@ATTRIBUTE y     REAL
@ATTRIBUTE a     REAL
@ATTRIBUTE b     REAL
@ATTRIBUTE c     REAL
@ATTRIBUTE d     REAL
@ATTRIBUTE class {black,white}

@DATA
0,0.125,0.311436,0.170256,-0.199383,-0.481305,white
0,0.458333,-0.112015,-0.636082,0.242573,-0.289121,black
0,1,-0.100297,-0.311867,0.0132853,0.236557,white
-0.0416667,0.25,0.622759,-0.00179688,-0.209954,0.0431842,white
-0.0833333,0.375,-0.0638336,-0.371954,0.0151741,-0.29737,black
-0.0833333,0.458333,0.220329,-0.0194739,-0.477389,-0.179485,black
-0.0833333,0.666667,0.0435648,0.0108047,-0.029544,0.089386,white
-0.125,0.125,-0.249515,0.368797,0.141574,-0.0446184,white
-0.125,0.166667,0.272718,-0.0678615,-0.300721,0.148103,white
-0.125,0.791667,0.111153,-0.031104,-0.110545,0.0740597,white
-0.166667,0.333333,-0.0258435,0.543413,0.223845,0.283222,white
-0.166667,0.708333,-0.0812193,-0.233543,0.396898,-0.00790749,white
-0.208333,0,0.430662,0.374868,-0.213808,0.138305,black
-0.208333,0.333333,-0.197095,-0.098162,-0.19427,-0.185378,white
-0.208333,0.875,-0.188234,0.233497,0.0212261,0.192545,white
-0.25,0.208333,0.0110188,-0.0445095,0.122715,0.100577,white
-0.25,0.708333,-0.313469,-0.575238,0.624563,0.083324,white
-0.291667,0.291667,0.0539763,0.0570733,0.37907,0.0195171,white
-0.333333,0.166667,0.586505,-0.0976923,0.209069,0.172495,white
-0.333333,0.333333,0.323067,-0.20216,-0.180439,-0.334001,white
-0.333333,0.666667,0.00306928,-0.490124,0.0946919,-0.211296,white
-0.333333,0.875,0.186281,-0.122363,-0.473038,0.174546,black
-0.375,0.125,0.569071,-0.0499935,0.161584,0.0325111,black
-0.375,0.625,-0.20731,0.395907,-0.145608,0.381298,white
-0.416667,0.625,0.334188,0.181868,0.148689,0.22262,white
-0.416667,0.833333,0.0191262,-0.100477,0.0781806,-0.231204,black
-0.458333,0.5,0.424169,0.273014,0.267864,-0.158424,white
-0.458333,0.791667,0.2754,-0.36889,0.287149,-0.207127,black
-0.5,0.0833333,-0.157188,0.111714,0.398136,-0.0789046,black
-0.5,0.5,-0.0187021,-0.212248,0.314554,-0.0345257,white
-0.5,0.833333,-0.0100675,-0.267609,0.118923,0.701155,black
-0.541667,0.291667,0.213305,-0.170493,-0.00114899,-0.263449,black
-0.541667,0.583333,-0.0557964,0.214193,0.112388,-0.0140191,black
-0.583333,0.0416667,-0.304486,0.183905,-0.220599,-0.25114,black
-0.583333,0.541667,-0.0747938,-0.0328736,0.156949,0.203372,black
-0.625,0.25,-0.0126055,0.246932,0.0248018,0.445819,black
-0.625,0.458333,0.32307,-0.3209,0.378437,0.195943,black
-0.666667,0.166667,-0.0969311,0.190164,-0.173461,-0.411255,black
-0.666667,0.458333,-0.228678,-0.362276,0.0712083,-0.0626933,black
-0.708333,0.125,0.512903,-0.269897,0.698801,0.331924,black
-0.75,0.166667,-0.093813,-0.0254414,0.665447,0.473846,black
-0.75,0.583333,-0.142939,-0.0287388,0.237537,-0.0911449,black
-0.791667,0,-0.147484,0.0255459,-0.202704,0.113148,black
-0.833333,0.125,-0.19811,-0.347848,-0.20225,0.256018,black
-0.833333,0.5,-0.360856,-0.5105,-0.3777,0.0320734,black
-0.875,0.291667,0.00965533,-0.41689,-0.247955,-0.358903,black
-0.916667,0.0416667,0.0283665,0.164282,0.315794,0.032482,black
-0.958333,0.208333,0.356213,0.129827,-0.242287,0.287748,black
0,0.666667,-0.118339,-0.33209,0.492027,-0.246705,black
