Frequency analysis for file: Resources\normalText.txt
e - 54944 - 12.29 %
 t - 40511 - 9.06 %
 a - 36142 - 8.08 %
 o - 34869 - 7.80 %
 i - 31248 - 6.99 %
 n - 29731 - 6.65 %
 h - 29579 - 6.62 %
 s - 27965 - 6.25 %
 r - 25684 - 5.74 %
 d - 19100 - 4.27 %
 l - 17636 - 3.94 %
 u - 13636 - 3.05 %
 m - 12155 - 2.72 %
 w - 11534 - 2.58 %
 c - 11103 - 2.48 %
 y - 9760 - 2.18 %
 f - 9363 - 2.09 %
 g - 8299 - 1.86 %
 p - 7284 - 1.63 %
 b - 6638 - 1.48 %
 v - 4572 - 1.02 %
 k - 3681 - 0.82 %
 x - 577 - 0.13 %
 j - 544 - 0.12 %
 q - 437 - 0.10 %
 z - 153 - 0.03 %
 Printing all digrams found for file Resources\normalText.txt
Counter is: 321081
th - 12012 - 3.74 %
 he - 10980 - 3.42 %
 in - 7670 - 2.39 %
 er - 7181 - 2.24 %
 an - 6511 - 2.03 %
 ha - 5772 - 1.80 %
 ou - 5701 - 1.78 %
 re - 5627 - 1.75 %
 nd - 4914 - 1.53 %
 at - 4896 - 1.52 %
 on - 4493 - 1.40 %
 en - 4268 - 1.33 %
 ed - 4264 - 1.33 %
 hi - 4157 - 1.29 %
 is - 3875 - 1.21 %
 to - 3771 - 1.17 %
 it - 3753 - 1.17 %
 as - 3627 - 1.13 %
 ve - 3472 - 1.08 %
 es - 3454 - 1.08 %
 ng - 3421 - 1.07 %
 or - 3298 - 1.03 %
 ar - 3207 - 1.00 %
 me - 3147 - 0.98 %
 te - 3146 - 0.98 %
 st - 3128 - 0.97 %
 se - 2943 - 0.92 %
 le - 2780 - 0.87 %
 of - 2766 - 0.86 %
 ne - 2514 - 0.78 %
 ea - 2450 - 0.76 %
 nt - 2360 - 0.73 %
 ro - 2358 - 0.73 %
 ll - 2350 - 0.73 %
 wa - 2199 - 0.68 %
 al - 2152 - 0.67 %
 be - 2148 - 0.67 %
 wh - 2089 - 0.65 %
 ur - 2061 - 0.64 %
 ti - 2021 - 0.63 %
